Type,ID,Title,Description,Status,Team,Priority,Progress,StoryPoints,CurrentSprint,StartDate,EndDate,Goals,AssignedTo,CreatedBy,CreatedDate,AreaPath,WorkItemType,Epic,Tags
Epic,EPIC-001,Customer Portal Redesign,Complete redesign of customer-facing portal with modern UI/UX,Active,Frontend Team,High,65,89,Sprint 12,2024-11-01,2024-12-31,Complete customer portal MVP,John Smith,Sarah Johnson,2024-10-15,Customer Experience\Portal,Epic,EPIC-001,portal;ux;customer;redesign
Epic,EPIC-002,API Gateway Implementation,Implement centralized API gateway for microservices,Planning,Backend Team,High,15,67,Sprint 13,2024-12-30,2025-02-28,API gateway foundation,Mike Davis,Tom Wilson,2024-11-20,Platform\Infrastructure,Epic,EPIC-002,api;gateway;microservices
Epic,EPIC-003,Mobile App Development,Native mobile applications for iOS and Android,Active,Mobile Team,Medium,45,124,Sprint 11,2024-10-15,2025-03-31,Mobile app beta release,Lisa Chen,Mark Brown,2024-09-30,Mobile\Applications,Epic,EPIC-003,mobile;ios;android
Epic,EPIC-004,Data Analytics Platform,Enterprise data analytics and reporting platform,Active,Data Team,High,32,156,Sprint 14,2024-11-15,2025-04-30,Data platform MVP,Alex Rodriguez,Data Lead,2024-10-01,Platform\Analytics,Epic,EPIC-004,analytics;data;reporting
Epic,EPIC-005,Cloud Migration,Legacy system migration to cloud infrastructure,Planning,DevOps Team,Medium,8,203,Sprint 15,2025-01-15,2025-06-30,Complete cloud migration,DevOps Lead,CTO,2024-12-01,Platform\Infrastructure,Epic,EPIC-005,cloud;migration;infrastructure
Epic,EPIC-006,Security Enhancement,Comprehensive security audit and improvements,Active,Security Team,High,58,78,Sprint 12,2024-10-01,2025-02-28,Security compliance,Security Lead,CTO,2024-09-15,Security\Compliance,Epic,EPIC-006,security;compliance;audit
Epic,EPIC-007,Performance Optimization,System performance and scalability improvements,Active,Backend Team,Medium,72,45,Sprint 11,2024-09-01,2025-01-31,Performance targets,Backend Lead,Architect,2024-08-15,Platform\Performance,Epic,EPIC-007,performance;scalability;optimization
Epic,EPIC-008,User Experience Redesign,Complete UX overhaul for all customer touchpoints,Planning,UX Team,High,12,134,Sprint 16,2025-02-01,2025-07-31,UX transformation,UX Lead,Product Director,2024-12-15,Customer Experience\UX,Epic,EPIC-008,ux;design;customer
Team,Frontend Team,Frontend development team specializing in React and modern web technologies,Frontend development and user experience,Active,Frontend Team,Medium,85,45,Sprint 12,2024-01-01,2024-12-31,Team capacity and velocity tracking,John Smith,HR System,2024-01-15,Engineering\Frontend,Team,Team-001,frontend;react;javascript
Team,Backend Team,Backend development team focusing on .NET and cloud services,Backend services and API development,Active,Backend Team,Medium,78,38,Sprint 13,2024-01-01,2024-12-31,Backend API development,Mike Davis,HR System,2024-01-15,Engineering\Backend,Team,Team-002,backend;dotnet;api
Team,Mobile Team,Mobile development team for iOS and Android applications,Native mobile app development,Active,Mobile Team,Medium,72,52,Sprint 11,2024-01-01,2024-12-31,Mobile app development,Lisa Chen,HR System,2024-01-15,Engineering\Mobile,Team,Team-003,mobile;ios;android
Team,Data Team,Data engineering and analytics team,Data pipeline development and analytics,Active,Data Team,Medium,68,41,Sprint 14,2024-01-01,2024-12-31,Data platform development,Alex Rodriguez,HR System,2024-01-15,Engineering\Data,Team,Team-004,data;analytics;engineering
Team,DevOps Team,DevOps and infrastructure team,CI/CD pipelines and infrastructure management,Active,DevOps Team,High,82,35,Sprint 15,2024-01-01,2024-12-31,Infrastructure automation,DevOps Lead,HR System,2024-01-15,Engineering\DevOps,Team,Team-005,devops;infrastructure;automation
Team,Security Team,Security and compliance team,Security implementation and compliance,Active,Security Team,High,75,28,Sprint 12,2024-01-01,2024-12-31,Security standards,Security Lead,HR System,2024-01-15,Engineering\Security,Team,Team-006,security;compliance;standards
Team,UX Team,User experience and design team,UX research and design implementation,Active,UX Team,Medium,79,33,Sprint 16,2024-01-01,2024-12-31,Design system,UX Lead,HR System,2024-01-15,Engineering\UX,Team,Team-007,ux;design;research
Team,QA Team,Quality assurance and testing team,Testing and quality validation,Active,QA Team,Medium,71,29,Sprint 12,2024-01-01,2024-12-31,Quality standards,QA Lead,HR System,2024-01-15,Engineering\QA,Team,Team-008,qa;testing;quality
